iter	Passed	Remaining
487	650	682
488	651	681
489	653	680
490	655	679
491	656	678
492	657	676
493	659	675
494	660	673
495	661	672
496	662	670
497	664	669
498	665	668
499	666	666
500	667	665
501	669	663
502	670	662
503	671	660
504	672	659
505	674	658
506	675	656
507	676	655
508	678	654
509	679	652
510	680	651
511	682	650
512	683	649
513	685	647
514	686	646
515	688	645
516	689	644
517	690	642
518	692	641
519	693	640
520	694	638
521	696	637
522	697	636
523	698	634
524	699	633
525	701	631
526	702	630
527	703	628
528	704	627
529	705	625
530	707	624
531	708	623
532	709	621
533	710	620
534	712	619
535	713	617
536	714	616
537	716	614
538	717	613
539	718	612
540	719	610
541	721	609
542	722	607
543	723	606
544	725	605
545	726	604
546	727	602
547	728	601
548	730	599
549	731	598
550	732	597
551	733	595
552	735	594
553	736	592
554	737	591
555	739	590
556	740	589
557	741	587
558	743	586
559	744	585
560	746	583
561	747	582
562	748	580
563	749	579
564	751	578
565	752	577
566	754	575
567	755	574
568	756	573
569	757	571
570	759	570
571	760	568
572	761	567
573	763	566
574	764	564
575	766	563
576	767	562
577	768	561
578	770	560
579	771	558
580	772	557
581	774	555
582	775	554
583	777	553
584	778	552
585	779	550
586	781	549
587	782	548
588	783	546
589	784	545
590	786	544
591	787	542
592	789	541
593	790	540
594	791	538
595	793	537
596	794	536
597	795	534
598	796	533
599	798	532
600	799	531
601	801	529
602	802	528
603	803	526
604	804	525
605	805	523
606	807	522
607	808	521
608	809	519
609	810	518
610	812	517
611	814	516
612	815	514
613	816	513
614	818	512
615	819	511
616	821	509
617	822	508
618	824	507
619	825	505
620	826	504
621	828	503
622	830	502
623	831	501
624	832	499
625	834	498
626	835	497
627	837	495
628	838	494
629	840	493
630	841	491
631	842	490
632	844	489
633	845	488
634	846	486
635	848	485
636	849	484
637	851	482
638	852	481
639	853	480
640	855	479
641	856	477
642	857	476
643	859	474
644	860	473
645	862	472
646	864	471
647	865	470
648	866	468
649	868	467
650	871	467
651	873	466
652	874	464
653	876	463
654	877	462
655	878	460
656	880	459
657	881	458
658	882	456
659	883	455
660	885	454
661	886	452
662	888	451
663	889	450
664	890	448
665	892	447
666	893	446
667	895	444
668	896	443
669	898	442
670	899	441
671	901	439
672	902	438
673	903	436
674	904	435
675	906	434
676	908	433
677	909	432
678	910	430
679	912	429
680	913	427
681	914	426
682	915	425
683	917	423
684	918	422
685	920	421
686	921	419
687	922	418
688	924	417
689	925	415
690	926	414
691	928	413
692	929	411
693	931	410
694	933	409
695	935	408
696	936	407
697	937	405
698	939	404
699	940	403
700	942	401
701	943	400
702	944	399
703	946	397
704	947	396
705	948	395
706	950	393
707	951	392
708	952	390
709	954	389
710	955	388
711	956	387
712	957	385
713	959	384
714	960	382
715	961	381
716	963	380
717	964	378
718	966	377
719	967	376
720	969	374
721	970	373
722	971	372
723	972	370
724	974	369
725	975	368
726	977	367
727	979	365
728	980	364
729	981	363
730	983	361
731	984	360
732	985	359
733	987	357
734	988	356
735	989	354
736	991	353
737	992	352
738	994	351
739	995	349
740	996	348
741	998	347
742	999	345
743	1000	344
744	1001	342
745	1003	341
746	1004	340
747	1006	338
748	1007	337
749	1008	336
750	1009	334
751	1011	333
752	1012	332
753	1013	330
754	1015	329
755	1017	328
756	1019	327
757	1020	325
758	1022	324
759	1023	323
760	1024	321
761	1025	320
762	1027	319
763	1028	317
764	1029	316
765	1031	315
766	1032	313
767	1033	312
768	1034	310
769	1036	309
770	1037	308
771	1038	306
772	1039	305
773	1040	303
774	1042	302
775	1043	301
776	1044	299
777	1045	298
778	1047	297
779	1048	295
780	1049	294
781	1050	292
782	1051	291
783	1053	290
784	1054	288
785	1055	287
786	1056	286
787	1058	284
788	1059	283
789	1060	281
790	1061	280
791	1062	279
792	1064	277
793	1065	276
794	1066	275
795	1067	273
796	1069	272
797	1070	270
798	1071	269
799	1072	268
800	1074	266
801	1075	265
802	1076	264
803	1077	262
804	1078	261
805	1080	260
806	1081	258
807	1082	257
808	1083	255
809	1085	254
810	1087	253
811	1088	251
812	1089	250
813	1090	249
814	1092	247
815	1093	246
816	1094	245
817	1095	243
818	1096	242
819	1097	240
820	1099	239
821	1100	238
822	1101	236
823	1102	235
824	1103	234
825	1105	232
826	1106	231
827	1107	230
828	1108	228
829	1110	227
830	1111	226
831	1112	224
832	1114	223
833	1115	222
834	1116	220
835	1118	219
836	1119	217
837	1120	216
838	1121	215
839	1123	213
840	1124	212
841	1126	211
842	1127	210
843	1129	208
844	1130	207
845	1131	206
846	1132	204
847	1134	203
848	1135	202
849	1137	200
850	1138	199
851	1139	197
852	1141	196
853	1142	195
854	1143	194
855	1145	192
856	1147	191
857	1148	190
858	1150	188
859	1151	187
860	1152	186
861	1154	184
862	1155	183
863	1156	182
864	1157	180
865	1159	179
866	1160	178
867	1161	176
868	1162	175
869	1164	173
870	1165	172
871	1166	171
872	1167	169
873	1169	168
874	1170	167
875	1171	165
876	1172	164
877	1174	163
878	1175	161
879	1176	160
880	1177	159
881	1178	157
882	1179	156
883	1180	154
884	1181	153
885	1183	152
886	1184	150
887	1185	149
888	1186	148
889	1188	146
890	1189	145
891	1190	144
892	1192	142
893	1193	141
894	1194	140
895	1195	138
896	1197	137
897	1198	136
898	1199	134
899	1200	133
900	1202	132
901	1203	130
902	1204	129
903	1205	128
904	1206	126
905	1208	125
906	1209	124
907	1210	122
908	1211	121
909	1213	119
910	1214	118
911	1215	117
912	1216	115
913	1217	114
914	1218	113
915	1219	111
916	1221	110
917	1222	109
918	1223	107
919	1224	106
920	1226	105
921	1227	103
922	1228	102
923	1229	101
924	1231	99
925	1232	98
926	1233	97
927	1235	95
928	1236	94
929	1237	93
930	1238	91
931	1240	90
932	1241	89
933	1242	87
934	1243	86
935	1244	85
936	1246	83
937	1247	82
938	1248	81
939	1249	79
940	1250	78
941	1252	77
942	1253	75
943	1254	74
944	1256	73
945	1257	71
946	1258	70
947	1259	69
948	1260	67
949	1261	66
950	1263	65
951	1264	63
952	1265	62
953	1266	61
954	1267	59
955	1269	58
956	1270	57
957	1272	55
958	1273	54
959	1274	53
960	1276	51
961	1277	50
962	1278	49
963	1279	47
964	1281	46
965	1282	45
966	1283	43
967	1284	42
968	1285	41
969	1286	39
970	1287	38
971	1289	37
972	1290	35
973	1291	34
974	1292	33
975	1294	31
976	1295	30
977	1296	29
978	1297	27
979	1298	26
980	1300	25
981	1301	23
982	1302	22
983	1303	21
984	1305	19
985	1306	18
986	1307	17
987	1309	15
988	1310	14
989	1311	13
990	1312	11
991	1313	10
992	1315	9
993	1316	7
994	1317	6
995	1318	5
996	1319	3
997	1321	2
998	1322	1
999	1323	0
